STR_CODE,STR_NAME,STR_TYPE,FULL_NAME,STR_STATUS,PST_CLASS,OWN,DATE_ACCEPT,SOURCE,FDMID,OLD_FDMID,GSA_NAME,DATE_ACT,SYS_DATE,SHAPE_LENGTH,PID,ACQDISTYPE
9999,MORRIS,AVE,MORRIS AVE,OPEN,LOCAL STREET,HRM,NULL,DM,200001754,0,EASTERN PASSAGE,2001-09-14 00:00:00.0000000,2022-09-12 18:54:21.0000000,143.407204821416,40950479,SUBDIVISION
9999,RIVERVIEW,DR,RIVERVIEW DR,OPEN,LOCAL STREET,HRM,NULL,DM,700007118,0,TIMBERLEA,2001-12-03 00:00:00.0000000,2022-09-12 18:54:21.0000000,98.2620845220334,40898363,NULL
9999,MAPLE,PL,MAPLE PL,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,700007353,600000797,UPPER TANTALLON,2001-11-28 00:00:00.0000000,2022-05-31 13:32:14.0000000,40.3979440622157,40896169,NULL
9999,WHITE BIRCH,DR,WHITE BIRCH DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,600000792,0,UPPER TANTALLON,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,190.971725903009,40896128,NULL
9999,FIVE ISLAND,RD,FIVE ISLAND RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,700008304,600000842,HUBLEY,2012-03-23 00:00:00.0000000,2022-05-31 13:32:14.0000000,305.455816720757,40896326,NULL
9999,OLD LAKE ECHO,RD,OLD LAKE ECHO RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,400000463,0,LAKE ECHO,2001-10-05 00:00:00.0000000,2022-05-31 13:32:14.0000000,393.479725374072,40963175,NULL
9999,MASONS POINT,RD,MASONS POINT RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,600000151,0,HEAD OF ST MARGARETS BAY,2001-11-13 00:00:00.0000000,2022-05-31 13:32:14.0000000,279.006391301232,40901530,NULL
9999,MARLBOROUGH,WDS,MARLBOROUGH WDS,OPEN,LOCAL STREET,HRM,NULL,DM,300003575,0,HALIFAX,2002-01-24 00:00:00.0000000,2020-11-09 00:00:00.0000000,266.84733488206,00001289,NULL
9999,BLUEWATER,RD,BLUEWATER RD,OPEN,LOCAL STREET,HRM,NULL,DM,100001564,0,BEDFORD,2001-11-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,952.189053640342,40915696,NULL
9999,DENISE,DR,DENISE DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,400001008,0,LAKE ECHO,2001-09-27 00:00:00.0000000,2022-05-31 13:32:14.0000000,145.670241686113,40956211,NULL
9999,ECHO,CRT,ECHO CRT,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,400000337,0,LAKE ECHO,2001-09-27 00:00:00.0000000,2022-05-31 13:32:14.0000000,167.274190875344,40955999,NULL
9999,MINEVILLE,RD,MINEVILLE RD,OPEN,MAJOR COLLECTOR,HRM,2022-06-01 00:00:00.0000000,SD,400001224,0,MINEVILLE,2001-10-01 00:00:00.0000000,2022-05-31 13:32:14.0000000,529.867643263821,40955163,NULL
9999,WESTMOUNT,DR,WESTMOUNT DR,OPEN,LOCAL STREET,HRM,NULL,DM,200003034,0,WESTPHAL,2001-09-28 00:00:00.0000000,2022-09-12 18:54:21.0000000,236.489963020006,40949299,NULL
9999,CHURCHILL,TERR,CHURCHILL TERR,OPEN,LOCAL STREET,HRM,NULL,CR,200002680,0,NORTH PRESTON,2001-10-04 00:00:00.0000000,2022-09-12 18:54:21.0000000,134.262843412061,40956542,NULL
9999,HIGHWAY 2,NULL,HIGHWAY 2,OPEN,ARTERIAL,HRM,NULL,DM,100000978,0,WELLINGTON,2001-12-19 00:00:00.0000000,2020-11-09 00:00:00.0000000,593.159061790446,40909293,NULL
9999,THREE BROOKS,DR,THREE BROOKS DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,600000804,0,HUBLEY,2001-11-30 00:00:00.0000000,2024-09-20 13:59:14.0000000,760.659919905784,40897944,NULL
9999,JOSHUA SLOCUM,AVE,JOSHUA SLOCUM AVE,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,700001147,600001129,LEWIS LAKE,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,480.965451330381,40507790,NULL
9999,HANOVER,CRT,HANOVER CRT,OPEN,LOCAL STREET,HRM,NULL,DM,700007615,300000907,HALIFAX,2011-02-23 00:00:00.0000000,2020-11-09 00:00:00.0000000,28.5809332665963,40921405,SUBDIVISION
9999,TANGMERE,CRT,TANGMERE CRT,OPEN,LOCAL STREET,HRM,NULL,DM,700007617,300000639,HALIFAX,2001-12-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,32.0339875161945,40922882,NULL
