OBJECTID,FCODE,STR_NAME,STR_TYPE,FULL_NAME,MUN_CODE,FROM_STR,TO_STR,STR_DIR,STR_STATUS,ST_CLASS,OWN,DATE_ACCEPT,STR_REM,FLAGS,PSAB_CODE,FDMID,ROUTE_ID,FROM_LEFT,TO_LEFT,FROM_RIGHT,TO_RIGHT,OLD_FDMID,GSA_LEFT,GSA_RIGHT,PAR_LEFT,PAR_RIGHT,STR_CODE_L,STR_CODE_R,ASSETID,ADDDATE,MODDATE,ORIGIN_DATE,MAINTENANCE,Shape_Length
277,RRRDLJ60,LANCASTER,DR,LANCASTER DR,HRM,DRAGONFLY LANE,KETCH HARBOUR RD,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,300002699,3303,48,140,49,139,0,HERRING COVE,HERRING COVE,EL,OR,7990,7990,ST6603,12/27/2001 0:00:00,3/27/2015 0:00:00,,WSZ4,441.133706690655686
278,RRRD,DENTITH,RD,DENTITH RD,HRM,DENTITH RD,LEWIS ST,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300002585,3342,10,40,9,35,0,HALIFAX,HALIFAX,EL,OR,247,247,ST4140,12/19/2001 0:00:00,,,WSZ4,220.130084747550512
279,RRRD,PURCELLS COVE,RD,PURCELLS COVE RD,HRM,SAILMAKER LANE,MELVIN RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300002536,3421,2198,2536,2199,2537,0,HALIFAX,HALIFAX,EL,OR,670,670,ST11988,12/27/2001 0:00:00,1/14/2019 0:00:00,,WSZ4,1037.007830847823243
280,RRRD,PURCELLS COVE,RD,PURCELLS COVE RD,HRM,SHIPSIDE LANE,SLIPWAY LANE,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,300003345,3421,2816,2986,2817,2987,0,HALIFAX,HALIFAX,EL,OR,670,670,ST9804,12/27/2001 0:00:00,1/21/2019 0:00:00,,WSZ4,524.010638952105410
281,RRRDLG80,FERGUSONS COVE,RD,FERGUSONS COVE RD,HRM,TA28 RD,MOONSAIL LANE,BOTH,OPEN,LOCAL STREET,HRM,,,GSA,DM,300002831,3422,296,316,297,317,0,FERGUSONS COVE,FERGUSONS COVE,EL,OR,7533,7533,ST12779,12/27/2001 0:00:00,5/12/2025 17:53:09,,WSZ4,145.630009697302029
282,RRRD,DINGLE,RD,DINGLE RD,HRM,FLEMING DR,DINGLE RD,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,300002328,3423,6,132,7,133,300002304,HALIFAX,HALIFAX,EL,OR,254,254,ST9857,12/27/2001 0:00:00,11/6/2017 0:00:00,,WSZ4,784.239178109908721
283,RRRD,OSBORNE,ST,OSBORNE ST,HRM,HERRING COVE RD,SULLIVAN TERR,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300002135,3443,50,58,51,59,0,HALIFAX,HALIFAX,EL,OR,618,618,ST13196,12/27/2001 0:00:00,11/20/2017 0:00:00,,WSZ4,39.192002614515367
284,RRRD,OSBORNE,ST,OSBORNE ST,HRM,SULLIVAN TERR,ELIZABETH DR,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300002161,3443,60,92,61,93,0,HALIFAX,HALIFAX,EL,OR,618,618,ST6666,12/27/2001 0:00:00,11/20/2017 0:00:00,,WSZ4,99.097373033924285
285,RRRD,OSBORNE,ST,OSBORNE ST,HRM,ELIZABETH DR,PINERIDGE DR,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300002193,3443,94,116,95,117,0,HALIFAX,HALIFAX,EL,OR,618,618,ST11156,12/27/2001 0:00:00,11/20/2017 0:00:00,,WSZ4,80.451109357500087
286,RRRD,OSBORNE,ST,OSBORNE ST,HRM,PINERIDGE DR,MAPLEWOOD DR,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,DM,700005884,3443,118,122,119,123,,HALIFAX,HALIFAX,EL,OR,618,618,ST11235,10/24/2007 0:00:00,11/20/2017 0:00:00,,WSZ4,21.137342922869152
287,RRRD,OSBORNE,ST,OSBORNE ST,HRM,MAPLEWOOD DR,WITHROD DR,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300002199,3443,124,138,125,139,0,HALIFAX,HALIFAX,EL,OR,618,618,ST61,12/27/2001 0:00:00,11/20/2017 0:00:00,,WSZ4,44.213513013408701
288,RRRD,OSBORNE,ST,OSBORNE ST,HRM,WITHROD DR,MARRIOTT ST,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300002272,3443,140,244,141,245,300002221,HALIFAX,HALIFAX,EL,OR,618,618,ST7933,12/28/2001 0:00:00,11/20/2017 0:00:00,,WSZ4,311.736976864317114
289,RRRD,COWIE HILL,RD,COWIE HILL RD,HRM,PETER SAULNIER DR,DARJEELING DR,BOTH,OPEN,MINOR COLLECTOR,HRM,8/21/2014 0:00:00,,,SD,700009688,3450,348,532,349,533,700008582,HALIFAX,HALIFAX,EL,OR,219,219,ST17175,6/16/2014 0:00:00,3/14/2018 0:00:00,,WSZ4,419.689328995012545
290,RRRD,COWIE HILL,RD,COWIE HILL RD,HRM,HADLEY CRES,COWIE HILL RD,BOTH,OPEN,MINOR COLLECTOR,HRM,5/22/2013 0:00:00,,,SD,700008581,3450,660,692,661,693,,HALIFAX,HALIFAX,EL,OR,219,219,ST17054,4/25/2013 0:00:00,,,WSZ4,80.338425834537176
291,RRRD,GRANITE COVE,DR,GRANITE COVE DR,HRM,HOLLANDBROOK RUN,OMEGA CRT,BOTH,OPEN,LOCAL STREET,HRM,12/17/2007 0:00:00,,,DM,700002298,351,186,234,187,235,700002195,HUBLEY,HUBLEY,EL,OR,7647,7647,ST492,5/18/2004 0:00:00,12/23/2014 0:00:00,,WSZ4,373.795247708284478
292,RRRDCE60,KETCH HARBOUR,RD,KETCH HARBOUR RD,HRM,RONS RD,STEEL LANE,BOTH,OPEN,ARTERIAL,HRM,,,,DM,300002794,3557,90,96,89,95,0,HERRING COVE,HERRING COVE,EL,OR,7922,7922,ST12666,12/7/2001 0:00:00,7/3/2015 0:00:00,,WSZ4,69.346917594351297
293,RRRD,MANSION,AVE,MANSION AVE,HRM,WOODCREST AVE,TROUT RUN,BOTH,OPEN,LOCAL STREET,HRM,7/18/2014 0:00:00,STREET TO BE RENAMED & RENUMBERED,,SD,700009623,3611,56,100,67,99,300002677,HALIFAX,HALIFAX,EL,OR,518,518,ST17118,12/5/2013 0:00:00,9/6/2024 18:16:12,,WSZ4,101.698136906352133
294,RRRD,MORRIS,ST,MORRIS ST,HRM,BARRINGTON ST,NORMA EDDY LANE,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300001858,3902,5200,5290,5201,5291,0,HALIFAX,HALIFAX,EL,OR,576,576,ST792,12/26/2001 0:00:00,11/14/2019 0:00:00,,W1,203.955469285170778
