"OBJECTID","STR_CODE","STR_NAME","STR_TYPE","GSA_NAME","FULL_NAME","STR_STATUS","OWN","DATE_ACCEPT","PST_CLASS","SOURCE","FDMID","FROM_STREET","TO_STREET","SHAPE_LENGTH","SHORT_DESC","LONG_DESC","SURF_MAT","SDI","PAVE_WIDTH","RATE_DATE","NUM_CURB","WIDTH2","BASEVAL","SURFVAL","OLD_FDMID","DATE_RET","DATE_REV","DATE_ACT","SYS_DATE"
"6494","0","WHITE HILLS","RUN","HAMMONDS PLAINS","WHITE HILLS RUN","OPEN","HRM","1999-06-29","MINOR COLLECTOR","DM","600001065","","","152.82121801","WHITE HILLS RUN (TATTENHAM CRES TO NORMAN BLVD)","WHITE HILLS RUN (HAMMONDS PLAINS)","ASPHALT","6.80000000","7.00000000","2015-06-09","0","10.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-06-18","2020-11-09"
"6495","0","KETCH HARBOUR","RD","HERRING COVE","KETCH HARBOUR RD","OPEN","HRM","","ARTERIAL","DM","700001916","","","156.00087364","KETCH HARBOUR RD (JEBEL LANE TO VIEW ROYAL DR)","KETCH HARBOUR RD (HERRING COVE)","ASPHALT","9.84400000","7.00000000","2014-12-15","0","10.00000000","0.00000000","0.00000000","300002792.00000000","","2025-03-05","2001-12-07","2022-09-12"
"6496","0","MAIN","ST","DARTMOUTH","MAIN ST","OPEN","HRM","","ARTERIAL","CS","200001884","","","168.67142609","MAIN ST (FADER ST TO BRIGADOON AVE)","MAIN ST (DARTMOUTH)","ASPHALT","8.07800000","15.00000000","2013-12-05","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-22","2022-09-12"
"6497","0","MALIK","CRT","LOWER SACKVILLE","MALIK CRT","OPEN","HRM","","LOCAL STREET","DM","100001966","","","124.38735098","MALIK CRT (COBEQUID RD TO END)","MALIK CRT (LOWER SACKVILLE)","ASPHALT","6.91100000","9.10000000","2013-11-06","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-08-01","2020-11-09"
"6498","0","OLIVET","ST","HALIFAX","OLIVET ST","OPEN","HRM","","LOCAL STREET","DM","300001517","","","278.41139580","OLIVET ST (MUMFORD RD TO END)","OLIVET ST (HALIFAX)","ASPHALT","5.73200000","11.00000000","2013-06-24","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-29","2020-11-09"
"6499","0","OLD LAWRENCETOWN","RD","WESTPHAL","OLD LAWRENCETOWN RD","OPEN","HRM","","LOCAL STREET","DM","200001697","","","113.59797801","OLD LAWRENCETOWN RD (CASSANDRA DR TO END)","OLD LAWRENCETOWN RD (WESTPHAL)","ASPHALT","8.37900000","9.00000000","2015-11-05","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-26","2022-09-12"
"6500","0","METROPOLITAN","AVE","LOWER SACKVILLE","METROPOLITAN AVE","OPEN","HRM","","MAJOR COLLECTOR","CA","100000648","","","109.09482545","METROPOLITAN AVE (KINGFISHER WAY TO FIRST LAKE DR)","METROPOLITAN AVE (LOWER SACKVILLE)","ASPHALT","8.95800000","9.00000000","2014-09-04","1","10.50000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-07-19","2020-11-09"
"6501","0","GANDER","AVE","LAKE LOON","GANDER AVE","OPEN","HRM","","LOCAL STREET","DM","200003098","","","105.72358407","GANDER AVE (RATTLING AVE TO TERRA NOVA AVE)","GANDER AVE (LAKE LOON)","ASPHALT","1.60900000","9.10000000","2014-05-06","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-03","2022-09-12"
"6502","0","MOUNT EDWARD","RD","DARTMOUTH","MOUNT EDWARD RD","OPEN","HRM","","MAJOR COLLECTOR","DM","200001057","","","243.03974577","MOUNT EDWARD RD (TOPSAIL BLVD TO LUCIEN DR)","MOUNT EDWARD RD (DARTMOUTH)","ASPHALT","7.39300000","10.00000000","2014-03-07","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-31","2022-09-12"
"6503","0","FERGUSON","RD","DARTMOUTH","FERGUSON RD","OPEN","HRM","","LOCAL STREET","DM","200002615","","","38.41575717","FERGUSON RD (TIDEWATER LANE TO END)","FERGUSON RD (DARTMOUTH)","BST","6.94500000","5.00000000","2015-10-21","0","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-16","2020-11-09"
