"ASSET_ID","GROUP_ID","ACQ_TYPE","PID","ACQ_COST","ASSET_TYPE","OWNER","DISPOSAL","MAIN_CLASS","ACQ_DATE","DISP_DATE","DISP_TYPE","ACQDISPSOURCE","LAND_NAME","HECTARES","SERV_CAT","PARK_ID","PARK_NAME","REPL_COST","HRWC_FLAG","ASSET_RECORD_COUNT","HRM_PARCEL_ADDDATE","HRM_PARCEL_MODDATE"
"2098","2039","","40114902","","LAND","HRM","","OPN","","","","","LONG COVE PARK","0.016","G","2039","LONG COVE PARK","","","1","2007-11-06","2017-06-27"
"2099","2039","LAND","40114571","0.00000000","LAND","HRM","","OPN","1981-12-01","","","Transaction Summary","LONG COVE PARK","0.175","G","2039","LONG COVE PARK","","","1","2007-11-06","2017-06-27"
"2100","2041","LAND","40114449","0.00000000","LAND","HRM","","VAC","1981-12-01","","","Transaction Summary"," ","0.021","H","","","","","1","2007-11-06","2017-03-24"
"2101","2042","LAND","40114456","0.00000000","LAND","HRM","","VAC","1981-12-01","","","Transaction Summary"," ","0.045","H","","","","","1","2007-11-06","2017-03-24"
"2102","","LAND","40114597","0.00000000","LAND","HRM","","OPN","1981-12-01","","","Transaction Summary","","2.576","","","","","","1","2007-11-06","2017-08-16"
"2103","","LAND","40043440","0.00000000","LAND","HRM","","OPN","1985-09-01","","","Transaction Summary","","1.477","","","","","","1","2007-11-06","2017-08-16"
"2104","","LAND","40111494","0.00000000","LAND","HRM","","OPN","1981-12-01","","","Transaction Summary","","5.805","","","","","","1","2007-11-06","2018-01-31"
"2105","","LAND","41082595","41000.00000000","LAND","HRM","","OPN","2002-12-06","","","Transaction Summary","","0.081","","","","","","1","2007-11-06","2018-01-31"
"2109","2050","LAND","40344038","0.00000000","LAND","HRM","","OPN","1990-05-01","","","Transaction Summary","BILL DOMPIERRE PARK","0.094","G","2050","BILL DOMPIERRE MEMORIAL PARK","","","1","2007-11-06","2017-06-27"
"2115","2056","LAND","40781288","0.00000000","LAND","HRM","","OPN","1997-02-26","","","Transaction Summary","NOTTINGHAM OPEN SPACE BUFFER","1.004","G","","","","","1","2007-11-06","2017-03-24"
"2117","5052","LAND","40781254","0.00000000","LAND","HRM","","OPN","1997-02-26","","","Transaction Summary","BEDFORD BARRENS","0.019","G","5091","BEDFORD BARRENS","","","1","2007-11-06","2017-06-27"
"2119","2060","LAND","40106528","0.00000000","LAND","HRM","","OPN","1971-12-01","","","Transaction Summary","UNION ST BEDFORD RIVER ACCESS BUFFER","0.275","G","","","","","1","2007-11-06","2017-03-24"
"2120","2061","LAND","40401176","0.00000000","LAND","HRM","","VAC","1988-06-01","","","Transaction Summary"," ","0.002","H","","","","","1","2007-11-06","2017-03-24"
"2121","412","LAND","41112764","0.00000000","LAND","HRM","","OPN","2004-04-14","","","Transaction Summary","RUTLEDGE STREET PARK","0.275","G","412","RUTLEDGE STREET PARK","","","1","2007-11-06","2017-06-27"
"2122","2063","LAND","40391245","0.00000000","LAND","HRM","","OPN","1988-06-01","","","Transaction Summary"," ","0.615","G","","","","","1","2007-11-06","2017-03-24"
"2126","2067","LAND","40105108","0.00000000","LAND","HRM","","OPN","1988-06-01","","","Transaction Summary"," ","0.568","G","","","","","1","2007-11-06","2017-03-24"
"2127","2068","LAND","40105603","0.00000000","LAND","HRM","","OPN","1977-12-01","","","Transaction Summary","MEADOWBROOK OPEN SPACE BUFFER WITH WALKWAY?","0.869","G","","","","","1","2007-11-06","2017-03-24"
"2129","9997","LAND","40458747","0.00000000","LAND","HRM","","DRA","1988-06-01","","","Transaction Summary","DRAINAGE","0.111","F","","","","","1","2007-11-06","2017-03-24"
"2130","2071","","40108250","","LAND","HRM","","OPN","","","","","TEACHERY","0.124","G","2071","TEACHERY PARK","","","1","2007-11-06","2025-02-06"
"2131","2071","LAND","40107138","156200.00000000","LAND","PRIV","Y","LAB","2016-12-01","2010-04-23","SOLD","Transaction Summary","TEACHERY","0.142","G","2071","TEACHERY PARK","","","1","2007-11-06","2025-02-06"
"2132","210","","40107203","","LAND","HRM","","LAB","","","","","BEDFORD CENTRAL SCHOOL","0.107","G","","","","","1","2007-11-06","2017-03-24"
"2133","210","","40107211","","LAND","HRM","","LAB","","","","","BEDFORD CENTRAL SCHOOL","0.109","G","","","","","1","2007-11-06","2017-03-24"
"2135","9997","LAND","40458879","0.00000000","LAND","HRM","","DRA","1988-06-01","","","Transaction Summary","DRAINAGE","0.026","F","","","","","1","2007-11-06","2017-03-24"
"2137","2078","","40105785","","LAND","HRM","","VAC","","","",""," ","0.057","H","","","","","1","2007-11-06","2017-03-24"
"2138","2079","","40105777","","LAND","HRM","","VAC","","","",""," ","0.054","H","","","","","1","2007-11-06","2017-03-24"
"2139","2080","LAND","40107153","0.00000000","LAND","PRIV","Y","ITR","1982-12-01","2019-04-16","SOLD","Transaction Summary","SHORE DR IN TRANSITION","0.059","G","","","","","1","2007-11-06","2020-07-31"
"2140","2081","LAND","40312753","0.00000000","LAND","HRM","","OPN","1979-12-01","","","Transaction Summary","DOUGLAS DR OPEN SPACE BUFFER","0.771","G","","","","","1","2007-11-06","2017-03-24"
"2141","152","LAND","40509101","0.00000000","LAND","HRM","","OPN","1989-03-01","","","Transaction Summary","MEADOWBROOK PARK","0.931","G","152","MEADOWBROOK PARK","","","1","2007-11-06","2017-06-27"
"2142","152","LAND","00434597","0.00000000","LAND","HRM","","OPN","1975-01-30","","","Transaction Summary","MEADOWBROOK PARK","1.801","G","152","MEADOWBROOK PARK","","","1","2007-11-06","2017-06-27"
"2144","152","LAND","40540080","0.00000000","LAND","HRM","","OPN","1990-09-01","","","Transaction Summary","MEADOWBROOK PARK","0.014","G","152","MEADOWBROOK PARK","","","1","2007-11-06","2017-06-27"
"2146","9997","LAND","40458960","0.00000000","LAND","HRM","","DRA","1988-06-01","","","Transaction Summary","DRAINAGE","0.024","F","","","","","1","2007-11-06","2017-03-24"
"2148","2089","LAND","40338436","0.00000000","LAND","HRM","","OPN","1985-05-01","","","Transaction Summary","WIMBLEDON RD OPEN SPACE BUFFER","0.313","G","","","","","1","2007-11-06","2017-03-24"
"2149","2090","LAND","00431031","0.00000000","LAND","HRM","","OPN","1981-12-01","","","Transaction Summary","BEDFORD LION'S PARK","1.268","G","2090","BEDFORD LIONS PARK","","","1","2007-11-06","2017-06-27"
"2150","2091","LAND","41165465","0.00000000","LAND","HRM","","OPN","2006-06-28","","","Transaction Summary","OPEN SPACE BUFFER","0.297","G","","","","","1","2007-11-06","2017-03-24"
"2151","2092","LAND","40490260","0.00000000","LAND","HRM","","OPN","1988-12-01","","","Transaction Summary","OPEN SPACE BUFFER","0.725","G","","","","","1","2007-11-06","2017-03-24"
"2152","2093","LAND","40368037","0.00000000","LAND","HRM","","OPN","1961-01-01","","","Transaction Summary","VETERAN'S PARK","0.084","G","","","","","1","2007-11-06","2017-06-27"
"2153","2094","LAND","00434118","0.00000000","LAND","HRM","","ITR","1985-04-01","","","Transaction Summary","HIGH ST IN TRANSITION PARCEL","0.231","H","","","","","1","2007-11-06","2017-03-24"
"2154","7700","LAND","40107856","0.00000000","LAND","HRM","","WAT","1981-12-01","","","Transaction Summary","WATER PARCELS - HRM OWNED","0.902","H","","","","","1","2007-11-06","2017-03-24"
"2155","2096","LAND","00428342","0.00000000","LAND","PRIV","Y","LAB","1981-12-01","2010-12-01","SOLD","Transaction Summary","","0.080","H","","","","","1","2007-11-06","2016-08-23"
"2156","2464","LAND","40539694","0.00000000","LAND","HRM","","OPN","1990-03-01","","","Transaction Summary","BASINVIEW DRIVE COMMUNITY SCHOOL","0.018","G","4040","BASINVIEW DRIVE COMMUNITY SCHOOL PARK","","","1","2007-11-06","2017-06-27"
"2157","2098","LAND","40338410","0.00000000","LAND","HRM","","OPN","1985-05-01","","","Transaction Summary","OPEN SPACE BUFFER","1.509","G","","","","","1","2007-11-06","2017-03-24"
